# Raw Optimization Data
# ,P4 - Surface Body Thickness (in) ,P5 - Def Mode: 1 Load Multiplier,P6 - Def Mode: 5 Load Multiplier,P7 - Def Mode: 10 Load Multiplier
Name,P4,P5,P6,P7
1,0.15000000000000002,133.57282281340738,178.16241689421079,228.82742427594604
2,0.25,481.91084095220555,610.31246313651707,836.47700563177261
3,0.35,1084.3163292322445,1646.1227678024686,2046.2930676756009
4,0.44999999999999996,2010.6451621308506,2991.5298382844726,3669.2822309187877
5,0.55,3410.7787679351654,4554.6819132735209,6365.3619891897033
6,0.65,5396.4873046995926,7479.6056532107941,9858.12290144342
7,0.75,7821.1819798870556,11472.041238499101,14741.359744550724
8,0.85,10315.180243992239,16703.498364657105,21074.361596354425
9,0.95000000000000007,13359.548539731357,23344.580315166379,29042.854610880982
10,1.05,16827.568497319993,31528.120491652422,38649.818225374969
